About,О,
Accept Payment,прихвати плаћање,
Amount,Износ,
Amount Based On Field,Износ Басед Он Фиелд,
Amount Field,iznos polje,
Apps,Апликације,
Attributes,Атрибути,
Button Help,дугме Помоћ,
Button Label,dugme Страна,
Compact Item Print,Компактан артикла Штампа,
Company,Компанија,
Currency,Валута,
Customer,Купац,
Description,Опис,
Frappe Support,Frappe подршка,
HTML / Banner that will show on the top of product list.,ХТМЛ / банер који ће се појавити на врху листе производа.,
Is Billing Contact,Да ли је контакт за наплату,
Is Your Company Address,Ис Иоур Адреса фирме,
Item Fields,Поља предмета,
Keyboard Shortcuts,Пречице на тастатури,
Log out,Ођавите се,
Payment Gateway,Паимент Гатеваи,
Payments,Исплате,
Print UOM after Quantity,Одштампај УОМ након количине,
Print taxes with zero amount,Штампај порез са нултим износом,
Products,Продукты,
Reload,Поновно учитавање,
Route,Рута,
Session Defaults,Подразумеване вредности сесије,
Show in Website,Прикажи на веб локацији,
Show this slideshow at the top of the page,Покажи ову пројекцију слајдова на врху странице,
Slideshow,Слидесхов,
Tax Category,Пореска категорија,
Title,Наслов,
Toggle Full Width,Пребаци у пуну ширину,
Toggle Theme,Промени тему,
View Website,Прикажи веб-сајт,
Website Settings,Сајт Подешавања,
Website Specifications,Сајт Спецификације,
Weightage,Веигхтаге,
